ANO,MÊS,Estado de São Paulo (TOTAL),Metropolitana de São Paulo (TOTAL),Região Metropolitana de São Paulo (RMSP),Município de São Paulo,Demais municípios da RMSP,Demais municípios da MSP,Ribeirão Preto,Campinas,São José do Rio Preto,Bauru,Vale do Paraíba Paulista,Presidente Prudente,Macro Metropolitana Paulista,Piracicaba,Itapetininga,Assis,Araçatuba,Litoral Sul Paulista,Araraquara,Marília
2021,mai.-21,97 118,38 444,34 105,21 803,12 302,4 339,7 834,11 160,5 743,4 773,5 210,2 114,7 845,3 351,1 914,1 421,1 969,1 629,2 655,1 056
2021,jun.-21,99 735,41 094,36 481,23 262,13 219,4 613,7 136,11 144,5 725,4 732,5 714,2 213,8 085,3 128,1 942,1 545,2 100,1 474,2 665,1 038
2021,jul.-21,109 620,45 910,41 211,26 311,14 900,4 699,7 840,11 767,6 694,4 829,6 309,2 309,8 733,3 705,2 150,1 669,2 142,2 181,2 120,1 262
2021,ago.-21,109 839,44 387,39 062,23 974,15 088,5 325,8 211,11 920,7 416,5 219,6 020,2 437,8 735,3 591,2 096,1 631,2 342,1 777,3 147,910
2021,set.-21,106 228,42 293,37 314,23 725,13 589,4 979,7 447,12 471,6 449,5 132,6 212,2 203,8 847,3 501,2 326,1 584,2 075,1 923,2 636,1 129
2021,out.-21,102 106,40 806,35 648,23 071,12 577,5 158,7 789,11 758,6 973,4 622,5 822,2 262,8 350,3 139,2 000,1 524,1 808,1 534,2 702,1 017
2021,nov.-21,101 678,40 269,35 714,22 640,13 074,4 555,7 627,11 128,6 377,5 511,5 563,2 322,8 859,3 188,1 994,1 610,1 769,1 719,2 718,1 024
2021,dez.-21,110 728,44 021,38 989,25 359,13 630,5 032,8 616,12 578,7 145,5 189,6 280,2 400,8 608,4 141,2 192,1 731,1 885,1 761,3 190,991
2022,jan.-22,103 466,40 781,36 395,23 938,12 457,4 386,8 379,11 623,6 496,4 990,5 724,2 277,8 306,3 614,2 016,1 586,1 895,1 566,3 074,1 139
2022,fev.-22,84 556,34 792,30 718,20 338,10 380,4 074,5 878,9 315,5 132,3 614,5 240,1 576,7 075,2 749,1 746,1 334,1 760,1 220,2 173,952
2022,mar.-22,94 671,37 751,33 345,20 713,12 632,4 406,7 016,11 190,5 672,4 044,5 004,2 041,7 908,3 357,2 119,1 430,2 076,1 603,2 513,947
2022,abr.-22,82 669,33 298,29 518,18 621,10 897,3 780,6 082,9 349,4 782,3 813,4 753,1 745,6 524,2 804,2 078,1 318,1 822,1 204,2 246,851
2022,mai.-22,100 278,41 434,36 707,23 473,13 234,4 727,6 782,11 068,6 082,4 480,5 425,2 202,8 326,3 459,2 071,1 409,2 155,1 541,2 813,1 031
2022,jun.-22,95 751,38 611,34 417,22 658,11 759,4 194,7 702,12 207,5 376,4 144,4 954,2 069,7 321,2 873,1 631,1 683,1 952,1 477,2 706,1 045
2022,jul.-22,99 706,39 622,35 777,23 435,12 342,3 845,7 344,11 859,6 591,4 356,5 153,2 194,7 648,3 304,2 339,1 496,2 276,1 568,2 891,1 065
2022,ago.-22,105 743,42 436,36 981,23 179,13 802,5 455,7 906,11 945,6 850,5 101,5 386,2 654,7 697,3 608,2 414,1 653,2 252,1 840,2 940,1 061
2022,set.-22,97 025,38 847,34 711,22 113,12 598,4 136,7 241,11 242,6 017,4 037,5 334,2 281,7 366,3 160,2 174,1 407,2 259,1 650,2 967,1 043
2022,out.-22,97 034,40 425,35 705,23 297,12 408,4 720,7 013,10 750,5 899,4 468,5 402,2 221,7 282,3 268,1 817,1 273,2 177,1 447,2 665,927
2022,nov.-22,90 893,36 891,33 160,21 867,11 293,3 731,6 242,10 843,5 427,4 022,5 021,1 936,7 009,2 872,1 803,1 407,1 976,1 484,2 977,983
2022,dez.-22,101 873,40 685,36 110,23 271,12 839,4 575,7 775,11 731,5 772,4 645,5 803,2 209,8 197,3 541,2 185,1 486,2 157,1 578,2 907,1 202
2023,jan.-23,97 277,38 710,33 813,22 113,11 700,4 897,7 493,10 994,6 041,4 542,5 449,2 202,7 035,3 960,1 841,1 612,2 030,1 586,2 726,1 056
2023,fev.-23,75 426,30 235,26 936,17 584,9 352,3 299,5 509,8 416,4 530,3 552,4 055,1 772,5 826,2 623,1 828,1 226,1 524,1 096,2 307,927
2023,mar.-23,98 543,40 267,35 569,23 097,12 472,4 698,7 021,11 146,6 265,4 764,5 278,2 066,7 280,3 585,2 314,1 472,1 923,1 624,2 540,998
